epoch; loss_train; loss_valid; accuracy;
1; 0.494913; 0.48447; 0.638857;
2; 0.456469; 0.404528; 0.711286;
3; 0.396327; 0.380859; 0.724;
4; 0.384802; 0.367856; 0.728143;
5; 0.381033; 0.382241; 0.708429;
6; 0.378452; 0.378309; 0.715714;
7; 0.375623; 0.366788; 0.727;
8; 0.373666; 0.3681; 0.725857;
9; 0.372933; 0.373043; 0.719714;
10; 0.371463; 0.369428; 0.726;
11; 0.370113; 0.375773; 0.719286;
12; 0.368673; 0.377635; 0.718;
13; 0.367405; 0.366323; 0.731571;
14; 0.366839; 0.365316; 0.730143;
15; 0.364994; 0.365012; 0.730286;
16; 0.363673; 0.365128; 0.731143;
17; 0.363178; 0.36699; 0.726571;
18; 0.361664; 0.370504; 0.726714;
19; 0.36057; 0.385218; 0.715286;
20; 0.359874; 0.365245; 0.731429;
21; 0.358455; 0.373962; 0.728857;
22; 0.3577; 0.367827; 0.729857;
23; 0.356502; 0.385602; 0.715571;
24; 0.355064; 0.368338; 0.730143;
25; 0.354559; 0.36689; 0.730143;
26; 0.352993; 0.367703; 0.729571;
27; 0.352306; 0.366658; 0.731429;
28; 0.350994; 0.364899; 0.729571;
29; 0.349877; 0.368548; 0.730571;
30; 0.348919; 0.375389; 0.724429;
31; 0.347194; 0.365696; 0.732143;
32; 0.346866; 0.369938; 0.729714;
33; 0.345209; 0.375201; 0.721857;
34; 0.344453; 0.366282; 0.732143;
35; 0.343113; 0.370672; 0.726857;
36; 0.341394; 0.372981; 0.726429;
37; 0.340485; 0.382595; 0.720571;
38; 0.339205; 0.369524; 0.728;
39; 0.338384; 0.367487; 0.733286;
40; 0.336811; 0.366454; 0.733571;
41; 0.335251; 0.373295; 0.725429;
42; 0.334196; 0.376059; 0.722714;
43; 0.333331; 0.367627; 0.733429;
44; 0.331397; 0.367662; 0.732857;
45; 0.329947; 0.379118; 0.721857;
46; 0.327903; 0.371066; 0.728857;
47; 0.325568; 0.373397; 0.724429;
48; 0.324621; 0.370828; 0.730714;
49; 0.322284; 0.382796; 0.723857;
50; 0.320397; 0.385314; 0.722571;
51; 0.317896; 0.367985; 0.736429;
52; 0.316846; 0.36625; 0.736286;
53; 0.314047; 0.365512; 0.738571;
54; 0.312444; 0.368305; 0.738857;
55; 0.310285; 0.371936; 0.734429;
56; 0.308664; 0.366527; 0.739857;
57; 0.306879; 0.364177; 0.742286;
58; 0.305045; 0.368853; 0.739;
59; 0.303466; 0.366602; 0.740714;
60; 0.301395; 0.365422; 0.740143;
61; 0.298909; 0.385151; 0.724857;
62; 0.297931; 0.373983; 0.736143;
63; 0.295849; 0.376511; 0.732857;
64; 0.294519; 0.369864; 0.736143;
65; 0.292505; 0.373485; 0.736;
66; 0.290864; 0.380944; 0.733857;
67; 0.288627; 0.373817; 0.736714;
68; 0.286253; 0.369953; 0.739143;
69; 0.285905; 0.372856; 0.738143;
70; 0.283413; 0.392514; 0.720143;
71; 0.281521; 0.381769; 0.732286;
72; 0.279776; 0.412752; 0.714571;
73; 0.27767; 0.385403; 0.732;
74; 0.27669; 0.384477; 0.734429;
75; 0.274837; 0.377414; 0.737286;
76; 0.272593; 0.381432; 0.733429;
77; 0.271054; 0.412788; 0.715;
78; 0.269564; 0.381381; 0.735429;
79; 0.267876; 0.384279; 0.731857;
80; 0.265411; 0.384258; 0.730857;
81; 0.264057; 0.38484; 0.734571;
82; 0.262564; 0.381935; 0.738286;
83; 0.261232; 0.388254; 0.732571;
84; 0.259567; 0.398963; 0.727286;
85; 0.257502; 0.383675; 0.734286;
86; 0.256609; 0.397699; 0.727429;
87; 0.254276; 0.397807; 0.727857;
88; 0.252097; 0.385312; 0.735571;
89; 0.251132; 0.403873; 0.724857;
90; 0.250213; 0.381651; 0.74;
91; 0.248044; 0.386597; 0.737571;
92; 0.246816; 0.387778; 0.736857;
93; 0.245804; 0.395127; 0.729286;
94; 0.244972; 0.425027; 0.713571;
95; 0.243119; 0.40337; 0.727286;
96; 0.241466; 0.389201; 0.737;
97; 0.240308; 0.397402; 0.729714;
98; 0.238994; 0.399293; 0.734857;
99; 0.237333; 0.401967; 0.727857;
100; 0.236434; 0.397579; 0.729571;

